"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"25","Classe 25 — Informations sur le traitement","025160","Correction finale de l'erreur instru-mentale dans la bande Ku","m","4","-120000","18","m","4","6","","","Operational"
"25","Classe 25 — Informations sur le traitement","025161","Correction finale de l'erreur instru-mentale dans la bande C","m","4","-120000","18","m","4","6","","","Operational"
"25","Classe 25 — Informations sur le traitement","025162","Correction du biais d'état de la mer en bande C","m","4","-6000","13","m","4","4","","","Operational"
"25","Classe 25 — Informations sur le traitement","025163","Correction ionosphérique de l'altimètre en bande Ku","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025164","Correction de troposphère humide du radiomètre","m","4","-5000","13","m","4","4","","","Operational"
"25","Classe 25 — Informations sur le traitement","025165","Correction ionosphérique - modèle dans une bande précise","m","4","-32768","16","m","4","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025166","Correction du biais d'état de la mer dans une bande précise","m","4","-32768","16","m","4","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025167","Correction finale de l'erreur instru-mentale dans une bande précise","m","4","-120000","18","m","4","6","","","Operational"
"25","Classe 25 — Informations sur le traitement","025170","Intervalle d'échantillonnage (temps)","s","0","0","10","s","0","4","","","Operational"
"25","Classe 25 — Informations sur le traitement","025171","Période à laquelle correspond la valeur moyenne de l'échantillon","s","0","0","10","s","0","4","","","Operational"
"25","Classe 25 — Informations sur le traitement","025172","Nombre d'échantillons","Numérique","0","0","10","Numérique","0","4","","","Operational"
"25","Classe 25 — Informations sur le traitement","025174","Indicateur des informations SMOS*","Table d'indicateurs","0","0","14","Table d'indicateurs","0","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025175","Valeur résiduelle modifiée","Numérique","2","0","13","Numérique","2","4","(voir note 7)","7","Operational"
"25","Classe 25 — Informations sur le traitement","025180","Pourcentage en mode basse résolution","%","2","0","16","%","2","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025181","Indicateur de traitement de niveau 2","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025182","Indicateur de traitement de niveau 1","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025183","Qualité du traitement de niveau 1","%","2","0","14","%","2","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025184","Catégorie de produit de niveau 2","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025185","Méthode de chiffrement","Table de code","0","0","8","Table de code","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025186","Version de la clef de chiffrement","CCITT IA5","0","0","96","Caractère","0","12","","","Operational"
"25","Classe 25 — Informations sur le traitement","025187","Indicateur de confiance","Table de code","0","0","4","Table de code","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025188","Méthode employée pour ramener la pression au niveau de la mer","Table de code","0","0","5","Table de code","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025189","Longueur d'onde de coupure dans la direction de visée","m","0","1","9","m","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025190","Mode de traitement de l'écho de l'altimètre","Table de code","0","0","8","Table de code","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025191","Mode de localisation de l'altimètre","Table de code","0","0","8","Table de code","0","3","","","Operational"
